Autor;País;Nacimiento;Defunción;Cuentos
Reyes, Alfonso;México;1889;1959;Algo peor, Campeona, Catástrofes, De Kelserling, Del bestiario mexicano, Del hilo, al ovillo, Del perfecto gobernante, Diógenes, Duelo, Educación, El buen impresor, El chivo padre, El cocinero, El gallo y el coyote, El mono y el tejón, El veredicto, En el frente, Error, Explorador, La asamblea de los animales, La cena, La elefanta, La fiesta nacional, La melancolía del viajero, La norma, Las dos golondrinas, Ley profunda, Los alivios, Presumida, Rancho de prisioneros, Ratones, Romance viejo, Sabor a mí, Suicidio, Toño Salazar, Venganza literaria
Ribeyro, Julio Ramón;Perú;1929;1994;83, El banquete, El profesor suplente, En el fondo, Estructura, La insignia, La molicie, La primera nevada, La relatividad de nuestras concepciones estéticas, Las cosas andan mal, Carmelo Rosa, Letrado de ayer, Los gallinazos sin plumas, Los merengues, Luder pasa rápidamente, Naturalidad, Nube de polillas, Perfección, Plagio, Por el corredor, Por las azoteas, Que lo cante, Solo lloran los valientes, Un ligero retraso, Un miserable, Universidades, Vueltas y vueltas
Rivera, Andrés;Argentina;1928;2016;Bailé, El corrector, En la mecedora, Lento, Obligaciones, Tres tazas de té, Un asesino de Cristo
Roa Bastos, Augusto;Paraguay;1917;2005;El prisionero, Juegos nocturnos, La excavación
Rodríguez Castelao, Alfonso;España;1886;1950;El retrato, En la noche de la última novena de difuntos
Rojas, Manuel;Chile;1896;1973;Canto y baile, El colocolo, El vaso de leche
Romero de Terreros, Manuel;México;1880;1968;El cofre, El sombrero del rey de Tibotú, Fray Baltasar, La puerta de bronce, Tristis imago
Rulfo, Juan;México;1918;1986;Acuérdate, Anacleto Morones, ¡Diles que no me maten!, Es que somos muy pobres, La noche que lo dejaron solo, Luvina, Macario, No oyes ladrar a los perros, Nos han dado la tierra, Talpa
Ruyra, Joaquim;España;1858;1939;Aniversario, Finilla, La mirada del pobre, La pavura, Las damiselas del mar, Noche de ánimas, Una tarde en el mar, Visión agorera
Salarrué;El Salvador;1899;1975;El cuento de olis olis catrín y el cañonazo, El cuento del cuento que contaron, El río, La botija, La flor del amor, La justicia, Las campanas, Los dioses, Semos malos
Sender, Ramón J.;España;1901;1982;El guaje, La lección
